timestamp,transaction_type,token,amount
1571967208,DEPOSIT,BTC,0.29866
1571967200,DEPOSIT,ETH,0.68364
1571967189,WITHDRAWAL,ETH,0.493839
1571967150,DEPOSIT,XRP,0.693272
1571967110,DEPOSIT,ETH,0.347595
1571967067,WITHDRAWAL,XRP,0.393786
1571966982,WITHDRAWAL,ETH,0.266166
1571966896,WITHDRAWAL,XRP,0.81984
1571966868,WITHDRAWAL,XRP,0.969999
1571966849,WITHDRAWAL,XRP,0.650535
1571966763,DEPOSIT,XRP,0.588537
1571966749,DEPOSIT,XRP,0.109955
1571966685,DEPOSIT,BTC,0.658794
1571966641,DEPOSIT,ETH,0.899781
1571966568,DEPOSIT,BTC,0.630386
1571966566,DEPOSIT,BTC,0.985879
1571966499,DEPOSIT,BTC,0.162165
1571966421,DEPOSIT,ETH,0.218207
1571966410,DEPOSIT,ETH,0.205472
1571966399,DEPOSIT,XRP,0.537373
1571966329,WITHDRAWAL,BTC,0.063663
1571966250,WITHDRAWAL,ETH,0.761543
1571966194,DEPOSIT,BTC,0.858688
1571966124,DEPOSIT,ETH,0.66315
1571966054,DEPOSIT,XRP,0.709244
1571966049,DEPOSIT,BTC,0.696682
1571966026,DEPOSIT,BTC,0.747093
1571965990,WITHDRAWAL,BTC,0.987358
1571965945,DEPOSIT,XRP,0.157443
1571965892,DEPOSIT,ETH,0.554933
1571965873,DEPOSIT,BTC,0.132038
1571965832,WITHDRAWAL,BTC,0.147965
1571965821,DEPOSIT,ETH,0.605997
1571965722,DEPOSIT,ETH,0.716122
1571965625,DEPOSIT,BTC,0.872733
1571965533,DEPOSIT,BTC,0.886933
1571965530,DEPOSIT,ETH,0.963364
1571965516,DEPOSIT,XRP,0.828934
1571965418,DEPOSIT,BTC,0.765155
1571965377,DEPOSIT,BTC,0.244591
1571965297,WITHDRAWAL,XRP,0.36783
1571965245,WITHDRAWAL,BTC,0.802627
1571965167,DEPOSIT,XRP,0.792316
1571965147,WITHDRAWAL,BTC,0.236674
1571965053,DEPOSIT,ETH,0.038583
1571965049,WITHDRAWAL,XRP,0.177468
1571964989,WITHDRAWAL,BTC,0.495282
1571964987,DEPOSIT,ETH,0.397724
1571964918,WITHDRAWAL,XRP,0.311287
1571964851,DEPOSIT,BTC,0.934521
1571964792,DEPOSIT,BTC,0.477118
1571964779,DEPOSIT,XRP,0.499383
